48986000,4079,30947,86354320,7719946,5235807,509278,19246,35700,3109,52762,3344,14056,1415552,8208,144046,603336,4034728,27248,7014,4277944,232407,1530993,1404,1212,2977
275016,208770,417,20561010,20379,706,13693,5288,746,736,387433,1444,660,717,19539,490,586505,2941999,1188,370,230703,8524,470924,3128,674,3799
7438637,55411,5140700,1495050,1168137,884426,68065320,5182778,159591,199874,94201,4460311,79113410,12204940,9733,259049,200303,369612,3639297,97930,2519421,2142090,1559618,6770,68006,6210
46556990,162999,6940,80410000,3539458,360566,1385192,7531,17009,3976,183835,77120,35530,15081,198336,920301,7595548,42631570,54680,26783,5758665,3930184,16505010,267299,7645,1710
694341,14013,10865,363866,25423000,339273,526001,59305,505827,311198,496513,3167,50599,609641,14606,439241,741568,228281,106792,79922,914253,463427,1839506,7590,28312,1694
15318450,35407,255116,36373980,18050910,74954000,13757780,1812430,4785802,942170,14049790,203643,1042888,28456710,434356,9865934,10332820,8338525,2385320,8128835,55520040,11379920,25649560,522183,614610,2159
81649590,487895,3223608,37563260,95214090,20385320,231650000,8437132,31287440,12186140,12269650,5822284,9115685,94440520,427806,7738457,9379229,9894039,28507390,5048676,39517290,24166270,94784820,766871,1448630,1935
4670835,47947,1626390,29258270,6544069,4182250,18166290,116110000,72593530,20249970,15687330,2357155,1267364,87957460,221732,4725626,4115985,6163451,4212946,1917515,22956300,4398190,5922244,235247,528215,2880
4780144,183576,3399020,6150339,5586902,6892011,19678960,14830100,230720000,99926230,13741280,48016,6470933,71644290,949798,14402150,19096490,5899202,6065202,11848010,65500420,35599330,50270660,732769,593692,3892
1380362,253369,728509,1615525,399362,313693,4840073,969336,16979130,102550000,5084363,36512,308047,17440330,823443,3418895,22535970,869619,9811491,1411797,24264310,32283820,3163685,501499,133111,5956
1465755,86959,159555,2851243,10340590,2018624,1631823,624742,2269911,4121642,3709800,26652,670711,15032170,158809,3329733,4118595,3211633,810298,1382765,15340170,2186354,11188150,115376,120802,2251
156780,132,51017,360963,397603,964260,1292197,3093842,53113,694,85210,1099900,1634552,86185,6955,5062,245625,59234,157899,125092,439744,3662,412880,556,318,7184
21168710,16615,2679717,14800200,16659190,9114958,26835670,7781121,5955997,1197843,1226397,160845,10427000,4486297,434518,4538483,13922120,17196900,3948689,2922710,30881680,9338904,35169140,179754,357191,1866
5447430,25630,4867517,4105445,3345858,3769568,9923002,3450787,3674388,658785,952031,6757,21372430,4370700,378580,5388916,8815541,7369178,6913025,7359595,107247900,30198260,33608690,485420,433551,2285
1428319,5372,32556,1036982,1446875,405601,715757,197258,519376,127432,224045,2069,77494,1268386,14708,326178,289097,689876,192670,73924,944413,176363,856596,10021,12872,4848
44719060,379956,1540990,60948050,48579980,24342950,46350640,14549820,41785680,11089510,11076430,76011,4562354,46887780,815131,19779000,14152970,28682940,7131884,4199182,40130230,12964390,47097780,539344,676961,2082
3374400,48926,201383,957827,2745899,463349,2407363,261010,1385837,546896,1485687,12492,207160,25967450,108094,1638394,2771800,8020436,3782007,497248,13241680,567380,6401195,26253,107665,2052
617540,1799,55072,2178229,1790261,1445994,2141555,759449,1064654,180046,488163,2265,2948178,1918051,112087,2159757,2832594,4867100,1953221,3087644,37618740,5728473,15822510,214741,143354,2013
59801390,429377,8183439,57147520,34809380,26064660,53376360,15405720,17772080,6127666,9419545,7247281,42206390,53162340,2585409,57111180,46360180,19557160,62838000,12030680,65046420,18786600,54456350,595518,2526736,2967
3863543,79224,654210,4927497,6902907,6445534,8841406,3257762,16004120,1356618,2186091,26377,5915739,20315440,2166578,48631580,43960900,22724930,28787330,85418000,124333600,36195370,69356340,2159205,3869135,2359
98558020,552078,21581850,82182550,60461690,37310000,132747100,32963850,110005000,25004250,16245390,186389,43518350,143443300,7799974,153245600,167316100,94068940,98111140,100751100,1123600000,148406500,395946400,8706723,14025700,1739
707588,4646,89066,550073,191645,331397,685265,162538,159076,65361,233975,1481,32844,235333,25561,232403,649753,921419,449857,719690,5812853,4031500,3628472,743478,7798742,3237
4339170,153474,183068,2645520,1879178,1516415,3494683,879306,1599773,343881,495692,10771,2664750,4138804,268340,3921732,6603653,11866330,3323640,11399500,61648320,18981950,105180000,918525,1395357,1876
1776,95,140,318,1894,196,185,180,214,227,224,376,231,241,183,161,189,807,137,152,1479,197256,110359,277,2159,11794
2865102,22913,124294,2190014,5268469,1078828,1671284,1141606,1430450,96102,298071,11335,1125880,1523630,102480,3976818,671056,1379307,697932,802061,7012219,534544,2612772,115148,270,12817
228,16,20,22,215,23,23,27,34,33,26,15,28,33,25,22,30,26,19,21,28,46,36,14,17,270
