year,id,gdp_area
2016,reg0,3076074.506697897
2016,reg1,720772.9572288353
2016,reg2,276651.55555736035
2016,reg3,1070257.0195453162
2016,reg4,3546775.636984255
2016,reg5,1204508.2335034132
2016,reg6,336769.6536769622
2016,reg7,234433.95129925985
2016,reg8,1474481.5042458742
2016,reg9,530282.651076719
2016,reg10,1197776.1360338908
2016,reg11,68325.80807440041
2016,reg12,69133.73467990072
2016,reg13,61801.17107248705
2016,reg14,200382.72779901378
2016,reg15,870111.3367501417
2016,reg16,337973.22790445917
2016,reg17,78528.20921209421
2016,reg18,129044.7012127166
2016,reg19,158210.93572366293
2016,reg20,207683.35465121633
2016,reg21,104173.18065456788
2016,reg22,39707.09705643
2016,reg23,1605.6647243422701
2016,reg24,26840.054022197706
2016,reg25,69530.95581498813
2016,reg26,452127.36470812117
2016,reg27,142745.21762542252
2016,reg28,68939.4625476698
2016,reg29,46952.33982162075
2016,reg30,98988.59399891994
2016,reg31,495800.4348040315
2016,reg32,241468.45779307952
2016,reg33,124310.4793870178
2016,reg34,90533.18475281692
2016,reg35,209428.581168381
2016,reg36,129801.48650448
2016,reg37,702899.6630809136
2016,reg38,96511.36351998764
2016,reg39,217167.0192356099
2016,reg40,142637.42454675096
2016,reg41,6240916.719680274
2016,reg42,16138733.081678852
2016,reg43,601219.1687244676
2016,reg44,224854.89019595328
2016,reg45,566589.3952669278
2016,reg46,1574625.6775798458
2016,reg47,386328.01751493785
